sample_no,side,hits,energy,peak_0,peak_1000,peak_2000,peak_3000,peak_4000,totalSampleTime[ms],avgSampleTime[ms],overallAvgEnergy,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,
38,L,1,130.67,34,31,29,28,27,45,0.11,130.67,204.75,1781.75,2257.85,1790.65,2532.75,1606.00,2731.85,1803.45,2924.50,2002.15,2043.90,1168.70,1694.10,2770.85,2696.45,1455.95,1876.15,2031.00,3008.30,2524.25,
41,L,1,125.83,55,47,44,43,41,46,0.12,125.83,204.75,2201.20,2023.35,1835.55,1780.80,1754.95,2819.00,1986.15,2260.30,2667.15,1982.70,2940.30,1341.60,2374.75,1493.85,2150.10,2431.05,1659.65,2073.95,2680.05,
43,L,1,147.59,20,16,15,13,11,45,0.11,147.59,204.75,1581.90,725.40,1927.45,2949.00,1542.95,3646.45,2292.25,3801.10,2033.95,1156.95,2218.00,1590.55,2096.70,2523.25,2218.80,2484.40,1154.65,3089.80,880.90,
47,L,1,124.18,52,47,45,41,40,45,0.11,124.18,204.75,2095.60,2702.25,1832.15,2388.15,1663.75,1370.80,2247.50,2595.10,2460.70,2426.25,2425.45,830.15,2571.00,2064.75,1439.30,2647.55,2090.45,2467.25,1854.55,
52,L,1,109.06,45,36,34,29,29,45,0.11,109.06,204.75,2395.25,2720.45,940.30,2578.50,1980.60,1943.00,2291.75,1933.00,1750.85,2142.00,2662.45,1961.30,2534.00,1121.25,1740.00,1060.55,1624.20,1840.15,3424.20,
57,L,1,105.87,46,41,38,35,33,45,0.11,105.87,204.75,2096.20,1804.50,2138.30,2075.20,2150.40,2382.25,2117.70,1884.95,2624.45,2794.45,1688.25,2326.75,2264.25,1862.65,1991.60,1632.20,2835.55,1719.40,2819.70,
62,L,1,150.62,43,42,40,38,37,45,0.11,150.62,204.75,1917.60,2094.15,1692.75,2436.00,1945.80,2562.95,2351.45,2697.45,2105.65,2635.90,1996.60,2392.75,2539.20,1879.30,1410.15,2732.85,1708.55,3442.85,2253.95,
66,L,1,148.64,53,50,45,43,39,45,0.11,148.64,204.75,2087.25,2478.80,2364.95,1811.30,2042.15,1840.95,1988.10,2507.00,1736.60,1844.80,2205.35,2350.20,2160.00,2502.00,1811.30,2171.65,2216.80,2504.25,1823.35,
70,L,1,102.76,16,15,15,13,13,40,0.10,102.76,204.75,2216.20,2047.40,2818.45,1794.85,2449.00,2161.70,2577.80,1004.75,2530.65,1131.10,2297.25,512.40,2100.70,1617.35,1339.50,3170.50,2630.20,2771.45,2744.00,
72,L,1,111.96,33,28,28,26,26,45,0.11,111.96,204.75,2245.30,1817.40,2121.95,2708.15,2167.90,2367.95,2178.80,2061.50,2921.85,2806.60,2801.55,1240.25,3860.45,1294.15,1971.15,2442.80,2686.15,1491.05,2316.30,
76,L,1,154.47,29,22,20,18,18,45,0.11,154.47,204.75,2999.25,2145.85,1188.25,2200.55,2027.75,2160.80,2013.20,2420.10,1305.45,3449.75,866.00,3354.20,697.85,2805.85,1510.90,2106.60,2378.40,2156.70,1550.70,
79,L,1,102.53,40,36,31,27,24,46,0.12,102.53,204.75,2386.25,2135.80,1984.60,2415.65,1537.70,2709.20,2425.05,1511.90,2835.95,2188.65,2874.60,2629.05,2871.70,1670.10,1392.95,778.50,2069.55,2126.45,1836.50,
82,L,1,158.94,45,38,34,32,29,45,0.11,158.94,204.75,1788.90,2493.50,1696.80,1771.70,1815.35,2177.35,2851.60,2312.95,2808.70,2119.90,2022.50,2337.90,2636.25,1207.85,2044.35,1520.95,1788.40,1980.00,2073.30,
86,L,1,137.03,42,37,35,34,31,45,0.11,137.03,204.75,2215.50,1837.85,2128.90,1875.65,2262.95,2363.05,2506.95,1575.85,2628.95,1287.65,2561.30,2381.70,2624.15,1779.15,1832.30,1407.60,2706.10,2001.95,3120.85,
100,L,1,71.07,20,14,12,11,11,45,0.11,71.07,204.75,1314.40,2412.80,2202.00,2212.95,2057.85,2889.70,2643.90,1876.85,2603.70,2135.75,1740.20,2008.05,1937.05,1769.60,2417.50,2156.80,2852.90,1930.80,2839.30,
103,L,1,81.70,54,51,44,41,38,45,0.11,81.70,204.75,1733.75,1910.80,2141.10,2009.55,2215.80,2281.55,2377.95,2487.25,1727.65,2527.00,2060.45,2027.10,2151.80,2243.55,2614.20,1863.40,2720.95,1636.50,3069.95,
108,L,1,107.31,50,43,41,39,37,46,0.12,107.31,204.75,2100.80,2430.75,2035.25,3085.20,1514.35,2134.20,2113.70,1972.05,1949.45,2569.95,1415.20,3463.10,2211.15,2264.80,1612.15,2133.60,2022.75,1968.45,2504.85,
112,L,1,67.81,53,40,36,35,33,45,0.11,67.81,204.75,2125.00,1997.55,2134.45,2345.25,1992.60,2027.65,1260.90,2703.50,2832.60,2401.00,2120.10,1991.10,1102.60,1815.35,1871.90,2118.05,2230.75,2251.10,2776.90,
