sample_no,side,hits,energy,peak_0,peak_1000,peak_2000,peak_3000,peak_4000,totalSampleTime[ms],avgSampleTime[ms],overallAvgEnergy,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,
271,L,1,51.77,21,16,14,13,11,46,0.12,51.77,204.75,1879.25,2872.30,2039.70,2973.05,1656.95,1761.30,519.20,1926.95,2131.70,1361.00,4039.40,1681.90,2059.55,1879.80,1746.05,1806.75,1686.50,2690.60,1171.00,
274,L,1,80.75,23,15,13,12,12,45,0.11,80.75,204.75,2516.65,1987.75,1457.25,2550.65,953.40,2043.40,1544.50,2733.75,768.95,3442.85,2145.80,3157.95,2515.00,3729.65,941.00,2072.70,1339.30,2595.55,2272.80,
277,L,1,110.86,13,12,11,10,10,40,0.10,110.86,204.75,2675.15,1783.20,1808.75,2961.75,1941.00,2411.00,2401.90,1550.05,1453.35,1070.20,2396.75,2467.90,2608.80,3003.65,3775.25,2077.50,1115.15,1653.00,2332.25,
280,L,1,134.84,14,12,10,9,9,39,0.10,134.84,204.75,2684.10,2642.50,1364.20,2305.50,1962.15,3578.40,797.40,3170.55,1394.95,1882.65,1931.55,486.75,2627.65,2416.20,2531.75,2344.20,2933.55,2266.55,905.20,
284,L,1,27.84,23,14,13,9,9,45,0.11,27.84,204.75,1660.20,2701.35,1825.70,1856.80,2242.70,1177.25,1054.50,158.50,3552.95,2046.35,4023.40,2221.85,2694.25,796.85,2581.35,490.15,2130.45,377.65,1259.85,
287,L,1,95.50,13,12,12,12,11,40,0.10,95.50,204.75,1913.05,2351.05,2167.05,1748.85,2491.10,1731.80,2267.10,617.00,2449.75,1602.35,3381.10,1466.30,3872.65,2111.75,3147.75,2232.10,1508.70,2518.05,1467.20,
299,L,1,29.69,19,14,14,14,12,40,0.10,29.69,204.75,2298.35,2207.35,2447.20,2147.20,2242.35,1811.80,3303.85,419.40,2829.00,786.10,3650.45,1378.35,3500.55,2242.95,2759.80,2682.50,842.85,1742.15,494.70,
306,L,1,22.53,19,15,13,10,10,45,0.11,22.53,204.75,1876.10,2821.75,1403.55,2953.05,1379.85,1927.25,1072.10,3273.60,2091.65,1265.20,2279.00,2649.60,2163.65,1797.30,1288.00,1359.75,1081.90,677.55,670.35,
315,L,1,90.89,33,26,23,16,15,46,0.12,90.89,204.75,2145.45,2707.20,1862.20,2806.55,1929.85,2366.60,1450.90,2380.20,1244.20,3434.45,1364.20,3052.00,741.15,900.75,614.60,1566.15,2001.60,2036.05,2258.80,
318,L,1,161.67,36,20,12,10,9,45,0.11,161.67,204.75,1407.10,2215.15,2007.75,1940.80,2254.50,2301.25,767.60,1113.55,281.10,114.30,383.35,366.25,261.60,640.90,281.30,1200.50,1482.20,2389.00,3356.10,
326,L,1,43.23,35,24,19,14,14,45,0.11,43.23,204.75,2574.85,2280.35,2616.45,2077.25,2450.05,1986.15,816.05,588.55,712.30,1643.65,1502.30,3262.45,3537.75,3640.90,3311.40,2750.00,2017.10,2403.20,129.00,
329,L,1,150.66,20,14,12,12,12,45,0.11,150.66,204.75,2185.90,2589.55,2582.15,3668.55,2365.65,1151.25,2440.40,1016.50,720.50,1406.35,2327.10,2064.95,1594.85,2844.65,717.70,3344.10,2492.70,3363.00,2757.25,
332,L,1,114.30,23,20,19,16,15,45,0.11,114.30,204.75,2969.00,2566.70,2628.35,2359.95,2622.30,1400.50,1756.05,808.10,1255.40,652.00,2253.30,2363.45,2281.15,2981.35,2048.95,3240.50,2011.25,2626.65,2317.50,
335,L,1,82.11,24,19,15,13,12,45,0.11,82.11,204.75,1984.40,2378.20,1675.10,2217.70,1793.70,2590.90,1597.40,3050.30,1362.75,1753.85,621.50,2531.50,506.00,1492.65,1904.40,3723.95,3405.50,4035.90,3502.25,
338,L,1,130.60,22,17,14,12,11,45,0.11,130.60,204.75,2550.75,1772.20,2471.50,2084.30,2926.65,1550.35,1389.80,1339.50,494.75,1839.60,1974.25,2005.70,1592.65,3130.20,2257.90,3105.70,3914.35,3933.70,360.45,
341,L,1,33.10,28,22,17,17,15,46,0.12,33.10,204.75,2210.00,1989.15,2355.20,2012.25,1455.90,2075.60,1971.70,1228.65,1787.10,1706.25,393.70,3564.65,3487.90,3569.60,3383.45,1787.00,1926.70,1297.20,975.10,
345,L,1,73.65,19,17,15,13,12,45,0.11,73.65,204.75,2404.55,2163.65,2141.00,2038.35,2685.85,649.45,935.35,2470.95,1051.50,2481.55,1439.55,3500.60,3408.05,1688.50,3752.70,1182.80,845.50,1377.70,1440.75,
